id,name,email,joined_date,status
1,Grace Lovelace,grace.lovelace4734@example.com,2023-01-23,ACTIVE
2,Guido Shannon,guido.shannon9087@example.com,2022-01-11,ACTIVE
3,Tim Johnson,tim.johnson2894@example.com,2022-09-15,ACTIVE
4,Ken Lamarr,ken.lamarr3028@example.com,2023-12-23,ACTIVE
5,John Lovelace,john.lovelace270@example.com,2022-11-11,ACTIVE
6,Grace Torvalds,grace.torvalds6461@example.com,2022-01-08,ACTIVE
7,Edsger Ritchie,edsger.ritchie8752@example.com,2023-04-06,ACTIVE
8,Edsger Knuth,edsger.knuth1068@example.com,2022-06-11,SUSPENDED
9,Mary Hamilton,mary.hamilton8217@example.com,2023-08-15,ACTIVE
10,James Knuth,james.knuth5685@example.com,2022-10-01,ACTIVE
11,Edsger Hopper,edsger.hopper6153@example.com,2021-09-15,ACTIVE
12,Frances Torvalds,frances.torvalds3951@example.com,2022-01-12,ACTIVE
13,Ada Gosling,ada.gosling1560@example.com,2021-08-20,ACTIVE
14,Hedy Berners-Lee,hedy.berners-lee7123@example.com,2022-12-09,ACTIVE
15,Hedy Backus,hedy.backus4648@example.com,2021-01-21,ACTIVE
16,Linus Berners-Lee,linus.berners-lee5878@example.com,2021-11-24,ACTIVE
17,Claude Hamilton,claude.hamilton6123@example.com,2023-06-07,ACTIVE
18,Mary Torvalds,mary.torvalds8456@example.com,2022-09-23,ACTIVE
19,Frances Johnson,frances.johnson9556@example.com,2021-05-25,ACTIVE
20,Hedy Shannon,hedy.shannon2030@example.com,2022-10-11,ACTIVE
21,James Knuth,james.knuth3171@example.com,2023-05-28,ACTIVE
22,Alan Johnson,alan.johnson7741@example.com,2022-10-25,ACTIVE
23,Donald Lovelace,donald.lovelace4757@example.com,2022-01-14,ACTIVE
24,Barbara Ritchie,barbara.ritchie9118@example.com,2022-06-17,ACTIVE
25,Claude Nakamoto,claude.nakamoto9522@example.com,2022-03-05,ACTIVE
26,Dennis Backus,dennis.backus1515@example.com,2023-07-07,ACTIVE
27,Mary Thompson,mary.thompson3150@example.com,2023-11-06,ACTIVE
28,Margaret Nakamoto,margaret.nakamoto4429@example.com,2021-02-15,ACTIVE
29,Margaret Allen,margaret.allen7613@example.com,2021-10-30,ACTIVE
30,Frances Liskov,frances.liskov8375@example.com,2021-02-19,ACTIVE
31,Barbara Backus,barbara.backus7489@example.com,2021-05-31,ACTIVE
32,Ada Johnson,ada.johnson6176@example.com,2022-06-10,SUSPENDED
33,John Lamarr,john.lamarr8878@example.com,2021-07-25,ACTIVE
34,Tim Gosling,tim.gosling1801@example.com,2023-11-09,ACTIVE
35,Claude Ritchie,claude.ritchie7374@example.com,2022-12-05,ACTIVE
36,Ken Dijkstra,ken.dijkstra1875@example.com,2023-03-11,ACTIVE
37,Edsger Turing,edsger.turing1529@example.com,2021-08-16,ACTIVE
38,Alan Shannon,alan.shannon2767@example.com,2022-10-30,ACTIVE
39,Mary Ritchie,mary.ritchie2190@example.com,2021-06-21,ACTIVE
40,Grace Liskov,grace.liskov1844@example.com,2023-01-17,ACTIVE
